Gene stable ID	Transcript stable ID	Gene name
OS11G0572100	OS11T0572100-01	RFC1
OS11G0572100	OS11T0572100-02	RFC1
OS11G0572100	OS11T0572100-03	RFC1
OS11G0572100	OS11T0572100-04	RFC1
OS11G0571900	OS11T0571900-01	
OS11G0570825	OS11T0570825-00	
OS11G0570400	OS11T0570400-01	
OS11G0570000	OS11T0570000-01	
OS11G0569800	OS11T0569800-01	
OS11G0569733	OS11T0569733-00	
OS11G0569600	OS11T0569600-01	
OS11G0569500	OS11T0569500-01	
OS11G0569400	OS11T0569400-00	
OS11G0569300	OS11T0569300-00	
OS11G0568950	OS11T0568950-00	
OS11G0568800	OS11T0568800-00	
OS11G0568700	OS11T0568700-01	
OS11G0568700	OS11T0568700-02	
OS11G0568666	OS11T0568666-01	
OS11G0568633	OS11T0568633-00	
OS11G0568600	OS11T0568600-01	
OS11G0568600	OS11T0568600-02	
OS11G0568500	OS11T0568500-01	
OS11G0568401	OS11T0568401-00	
OS11G0568300	OS11T0568300-01	
OS11G0567900	OS11T0567900-01	
OS11G0567800	OS11T0567800-01	
OS11G0567600	OS11T0567600-01	
OS11G0567200	OS11T0567200-00	
OS11G0566800	OS11T0566800-01	
OS11G0565920	OS11T0565920-00	
OS11G0565400	OS11T0565400-01	
OS11G0565300	OS11T0565300-00	
OS11G0565000	OS11T0565000-01	
OS11G0564900	OS11T0564900-00	
OS11G0564800	OS11T0564800-01	
OS11G0562600	OS11T0562600-00	
OS11G0562432	OS11T0562432-00	
OS11G0562266	OS11T0562266-00	
OS11G0562100	OS11T0562100-01	
OS11G0562100	OS11T0562100-02	
OS11G0561100	OS11T0561100-00	
OS11G0560900	OS11T0560900-00	
OS11G0560366	OS11T0560366-00	
OS11G0560033	OS11T0560033-00	
OS11G0559600	OS11T0559600-01	
OS11G0559366	OS11T0559366-00	
OS11G0559533	OS11T0559533-01	
OS11G0559200	OS11T0559200-00	
OS11G0558900	OS11T0558900-01	
OS11G0558566	OS11T0558566-00	
OS11G0558500	OS11T0558500-01	
OS11G0558500	OS11T0558500-02	
OS11G0558400	OS11T0558400-00	
OS11G0558350	OS11T0558350-01	
OS11G0558300	OS11T0558300-01	
OS11G0558100	OS11T0558100-00	
OS11G0558200	OS11T0558200-01	
OS11G0557900	OS11T0557900-01	
OS11G0557800	OS11T0557800-01	
OS11G0557700	OS11T0557700-01	
OS11G0557700	OS11T0557700-02	
OS11G0557500	OS11T0557500-00	
OS11G0557400	OS11T0557400-01	
OS11G0557000	OS11T0557000-01	
OS11G0557300	OS11T0557300-01	
OS11G0556733	OS11T0556733-00	
OS11G0556132	OS11T0556132-00	
OS11G0556400	OS11T0556400-00	
OS11G0556433	OS11T0556433-00	
OS11G0556466	OS11T0556466-00	
OS11G0555866	OS11T0555866-00	
OS11G0555300	OS11T0555300-00	
OS11G0555600	OS11T0555600-01	
OS11G0554200	OS11T0554200-01	
OS11G0554000	OS11T0554000-01	
OS11G0553832	OS11T0553832-00	
OS11G0553666	OS11T0553666-00	
OS11G0552600	OS11T0552600-01	
OS11G0553500	OS11T0553500-00	
OS11G0552500	OS11T0552500-00	
OS11G0552100	OS11T0552100-01	
OS11G0552100	OS11T0552100-02	
OS11G0552000	OS11T0552000-01	
OS11G0551900	OS11T0551900-01	GRF8
OS11G0551800	OS11T0551800-02	
OS11G0551350	OS11T0551350-01	
OS11G0550900	OS11T0550900-01	
OS11G0550800	OS11T0550800-01	
OS11G0550500	OS11T0550500-01	
OS11G0550300	OS11T0550300-01	
OS11G0550100	OS11T0550100-01	
OS11G0549900	OS11T0549900-01	
OS11G0549700	OS11T0549700-01	
OS11G0549695	OS11T0549695-01	
OS11G0549690	OS11T0549690-01	
OS11G0549686	OS11T0549686-00	
OS11G0549680	OS11T0549680-01	
OS11G0549675	OS11T0549675-01	
OS11G0549670	OS11T0549670-01	
OS11G0549667	OS11T0549667-00	
OS11G0549655	OS11T0549655-01	
OS11G0549665	OS11T0549665-01	
OS11G0549665	OS11T0549665-02	
OS11G0549665	OS11T0549665-03	
OS11G0549650	OS11T0549650-00	
OS11G0549635	OS11T0549635-00	
OS11G0549620	OS11T0549620-01	
OS11G0549615	OS11T0549615-01	
OS11G0549610	OS11T0549610-00	
OS11G0549605	OS11T0549605-00	
OS11G0549537	OS11T0549537-00	
OS11G0549469	OS11T0549469-00	
OS11G0549401	OS11T0549401-00	
OS11G0549300	OS11T0549300-00	
OS11G0548600	OS11T0548600-00	
OS11G0547800	OS11T0547800-00	
OS11G0547000	OS11T0547000-01	
OS11G0547000	OS11T0547000-02	
OS11G0546900	OS11T0546900-01	GF14D
OS11G0546750	OS11T0546750-00	
OS11G0546600	OS11T0546600-00	
OS11G0546500	OS11T0546500-00	
OS11G0546401	OS11T0546401-00	
OS11G0546300	OS11T0546300-01	
OS11G0546200	OS11T0546200-01	
OS11G0546150	OS11T0546150-00	
OS11G0546100	OS11T0546100-01	
OS11G0546000	OS11T0546000-01	
OS11G0546000	OS11T0546000-02	
OS11G0545800	OS11T0545800-01	
OS11G0545700	OS11T0545700-01	
OS11G0545650	OS11T0545650-00	
OS11G0545600	OS11T0545600-01	
OS11G0545600	OS11T0545600-02	
OS11G0545600	OS11T0545600-03	
OS11G0545300	OS11T0545300-01	
OS11G0545300	OS11T0545300-02	
OS11G0545000	OS11T0545000-01	
OS11G0545000	OS11T0545000-02	
OS11G0545000	OS11T0545000-03	
OS11G0544866	OS11T0544866-01	
OS11G0544900	OS11T0544900-00	
OS11G0544700	OS11T0544700-01	
OS11G0544800	OS11T0544800-01	GATB
OS11G0544600	OS11T0544600-01	
OS11G0544600	OS11T0544600-02	
OS11G0544500	OS11T0544500-01	
OS11G0544500	OS11T0544500-02	
OS11G0544300	OS11T0544300-01	
OS01G0100100	OS01T0100100-01	
OS01G0100200	OS01T0100200-01	
OS01G0100300	OS01T0100300-00	
OS01G0100400	OS01T0100400-01	
OS01G0100466	OS01T0100466-00	
OS01G0100500	OS01T0100500-01	
OS01G0100600	OS01T0100600-01	
OS01G0100650	OS01T0100650-00	
OS01G0100700	OS01T0100700-01	
OS01G0100800	OS01T0100800-01	
OS01G0100900	OS01T0100900-01	SPL
OS01G0101150	OS01T0101150-00	
OS01G0101175	OS01T0101175-00	
OS01G0101200	OS01T0101200-01	
OS01G0101200	OS01T0101200-02	
OS01G0101300	OS01T0101300-01	
OS01G0101600	OS01T0101600-01	
OS01G0101600	OS01T0101600-02	
OS01G0101600	OS01T0101600-03	
OS01G0101700	OS01T0101700-00	
OS01G0101800	OS01T0101800-01	
OS01G0101850	OS01T0101850-00	
OS01G0101900	OS01T0101900-00	
OS01G0102000	OS01T0102000-01	
OS01G0102300	OS01T0102300-01	
OS01G0102400	OS01T0102400-01	
OS01G0102500	OS01T0102500-01	
OS01G0102600	OS01T0102600-01	
OS01G0102600	OS01T0102600-02	
OS01G0102700	OS01T0102700-01	
OS01G0102800	OS01T0102800-01	
OS01G0102850	OS01T0102850-00	
OS01G0102900	OS01T0102900-01	LIR1
OS01G0103000	OS01T0103000-01	
OS01G0103050	OS01T0103050-01	
OS01G0103075	OS01T0103075-00	
OS01G0103100	OS01T0103100-01	
OS01G0103100	OS01T0103100-02	
OS01G0103400	OS01T0103400-01	
OS01G0103600	OS01T0103600-01	
OS01G0103600	OS01T0103600-02	
OS01G0103650	OS01T0103650-00	
OS01G0103700	OS01T0103700-01	
OS01G0103800	OS01T0103800-01	
OS01G0103900	OS01T0103900-01	
OS01G0104000	OS01T0104000-01	
OS01G0104000	OS01T0104000-02	
OS01G0104100	OS01T0104100-01	
OS01G0104100	OS01T0104100-02	
OS01G0104200	OS01T0104200-00	
OS01G0104350	OS01T0104350-00	
OS01G0104400	OS01T0104400-01	
OS01G0104400	OS01T0104400-02	
OS01G0104400	OS01T0104400-03	
OS01G0104500	OS01T0104500-01	
OS01G0104600	OS01T0104600-01	
OS01G0104600	OS01T0104600-02	
OS01G0104800	OS01T0104800-01	
OS01G0104800	OS01T0104800-02	
OS01G0104900	OS01T0104900-01	
OS01G0104900	OS01T0104900-02	
OS01G0105300	OS01T0105300-01	
OS01G0105400	OS01T0105400-01	
OS01G0105700	OS01T0105700-01	
OS01G0105800	OS01T0105800-01	
OS01G0105900	OS01T0105900-01	
OS01G0106200	OS01T0106200-01	
OS01G0106300	OS01T0106300-01	
OS01G0106400	OS01T0106400-01	
OS01G0106500	OS01T0106500-01	
OS01G0106600	OS01T0106600-01	
OS01G0106700	OS01T0106700-00	
OS01G0106750	OS01T0106750-00	
OS01G0106800	OS01T0106800-01	
OS01G0106900	OS01T0106900-01	DXR
OS01G0106900	OS01T0106900-02	DXR
OS01G0107000	OS01T0107000-01	
OS01G0107000	OS01T0107000-02	
OS01G0107400	OS01T0107400-01	
OS01G0107700	OS01T0107700-01	
OS01G0107750	OS01T0107750-00	
OS01G0107900	OS01T0107900-01	EX2
OS01G0107900	OS01T0107900-02	EX2
OS01G0108000	OS01T0108000-01	
OS01G0108200	OS01T0108200-01	
OS01G0108400	OS01T0108400-00	
OS01G0108500	OS01T0108500-00	
OS01G0108600	OS01T0108600-01	
OS01G0108600	OS01T0108600-02	
OS01G0108700	OS01T0108700-01	
OS01G0108800	OS01T0108800-01	
OS01G0109000	OS01T0109000-01	
OS01G0109201	OS01T0109201-01	
OS01G0109300	OS01T0109300-01	
OS01G0109366	OS01T0109366-00	
OS01G0109432	OS01T0109432-00	
OS01G0109500	OS01T0109500-01	
OS01G0109700	OS01T0109700-01	
OS01G0109750	OS01T0109750-01	
OS01G0110050	OS01T0110050-01	
OS01G0110100	OS01T0110100-01	PHO1-1
OS01G0110200	OS01T0110200-01	
OS01G0110400	OS01T0110400-01	
OS01G0110500	OS01T0110500-01	
OS01G0110600	OS01T0110600-00	
OS01G0110700	OS01T0110700-01	
OS01G0110700	OS01T0110700-02	
OS01G0110800	OS01T0110800-01	
OS01G0111000	OS01T0111000-00	
OS01G0111100	OS01T0111100-01	
OS01G0111200	OS01T0111200-01	
OS01G0111300	OS01T0111300-01	
OS01G0111400	OS01T0111400-01	
OS01G0111400	OS01T0111400-02	
OS01G0111500	OS01T0111500-01	
OS01G0111600	OS01T0111600-01	
OS01G0111700	OS01T0111700-01	
OS01G0111800	OS01T0111800-01	
OS01G0111800	OS01T0111800-02	
OS01G0111900	OS01T0111900-01	
OS01G0112000	OS01T0112000-01	
OS01G0112050	OS01T0112050-01	
OS01G0112100	OS01T0112100-01	
OS01G0112201	OS01T0112201-01	
OS01G0112300	OS01T0112300-01	
OS01G0112400	OS01T0112400-01	NIP4-1
OS01G0112500	OS01T0112500-01	
OS01G0112500	OS01T0112500-02	
OS01G0112600	OS01T0112600-01	
OS01G0112800	OS01T0112800-00	
OS01G0113000	OS01T0113000-00	
OS01G0113150	OS01T0113150-00	
OS01G0113200	OS01T0113200-01	
OS01G0113300	OS01T0113300-01	
OS01G0113325	OS01T0113325-00	
OS01G0113350	OS01T0113350-00	
OS01G0113400	OS01T0113400-01	
OS01G0113400	OS01T0113400-02	
OS01G0113450	OS01T0113450-00	
OS01G0113500	OS01T0113500-01	
OS01G0113600	OS01T0113600-01	
OS01G0113600	OS01T0113600-02	
OS01G0113650	OS01T0113650-00	
OS01G0113700	OS01T0113700-00	
OS01G0113750	OS01T0113750-00	
OS01G0113800	OS01T0113800-01	
OS01G0113900	OS01T0113900-01	
OS01G0113950	OS01T0113950-00	
OS01G0114000	OS01T0114000-00	
OS01G0114050	OS01T0114050-00	
OS01G0114100	OS01T0114100-01	
OS01G0114150	OS01T0114150-00	
OS01G0114200	OS01T0114200-01	
OS01G0114300	OS01T0114300-01	
OS01G0114400	OS01T0114400-00	
OS01G0114402	OS01T0114402-00	
OS01G0114550	OS01T0114550-01	
OS01G0114600	OS01T0114600-00	
OS01G0114650	OS01T0114650-00	
OS01G0114700	OS01T0114700-00	
OS01G0114800	OS01T0114800-01	
